"TIME_PERIOD","    Disposable personal income, current dollars                                                                                                                                                                                                                 "
"1947Q2","-0.7"
"1947Q3","19.6"
"1947Q4","4.3"
"1948Q1","12.5"
"1948Q2","17.8"
"1948Q3","13.4"
"1948Q4","1"
"1949Q1","-10.5"
"1949Q2","-0.5"
"1949Q3","0.2"
"1949Q4","1.9"
"1950Q1","33.6"
"1950Q2","0.7"
"1950Q3","14.2"
"1950Q4","10"
"1951Q1","13.9"
"1951Q2","12.8"
"1951Q3","5.2"
"1951Q4","4.7"
"1952Q1","1.5"
"1952Q2","5.1"
"1952Q3","11.2"
"1952Q4","9.6"
"1953Q1","6.4"
"1953Q2","6"
"1953Q3","0.2"
"1953Q4","0.4"
"1954Q1","4.1"
"1954Q2","-0.2"
"1954Q3","2.9"
"1954Q4","7.5"
"1955Q1","8"
"1955Q2","9.6"
"1955Q3","9.3"
"1955Q4","5.9"
"1956Q1","5.8"
"1956Q2","6.7"
"1956Q3","6.1"
"1956Q4","8.9"
"1957Q1","5"
"1957Q2","5.5"
"1957Q3","5.4"
"1957Q4","-0.6"
"1958Q1","1.4"
"1958Q2","3.6"
"1958Q3","9.4"
"1958Q4","6.1"
"1959Q1","5.2"
"1959Q2","8.4"
"1959Q3","1.9"
"1959Q4","5.1"
"1960Q1","5.3"
"1960Q2","4.8"
"1960Q3","2.3"
"1960Q4","1.6"
"1961Q1","4.6"
"1961Q2","6.2"
"1961Q3","7"
"1961Q4","8.5"
"1962Q1","5.8"
"1962Q2","5.9"
"1962Q3","3.3"
"1962Q4","4.9"
"1963Q1","4.7"
"1963Q2","4.4"
"1963Q3","6.5"
"1963Q4","8.3"
"1964Q1","10.1"
"1964Q2","12.2"
"1964Q3","6.7"
"1964Q4","6"
"1965Q1","6.1"
"1965Q2","6.7"
"1965Q3","13.1"
"1965Q4","9.6"
"1966Q1","7.3"
"1966Q2","4.4"
"1966Q3","8.2"
"1966Q4","8"
"1967Q1","7.4"
"1967Q2","5.2"
"1967Q3","7.8"
"1967Q4","6.5"
"1968Q1","11.4"
"1968Q2","11.2"
"1968Q3","5.5"
"1968Q4","7.8"
"1969Q1","5"
"1969Q2","9.4"
"1969Q3","13.8"
"1969Q4","7.9"
"1970Q1","9.2"
"1970Q2","9.8"
"1970Q3","10.7"
"1970Q4","4.3"
"1971Q1","12.4"
"1971Q2","10.9"
"1971Q3","6.2"
"1971Q4","7.4"
"1972Q1","6.2"
"1972Q2","6.6"
"1972Q3","11.9"
"1972Q4","20.9"
"1973Q1","8.2"
"1973Q2","11.6"
"1973Q3","9.5"
"1973Q4","13.3"
"1974Q1","5.2"
"1974Q2","7.7"
"1974Q3","11.6"
"1974Q4","9.9"
"1975Q1","7"
"1975Q2","25.8"
"1975Q3","1.6"
"1975Q4","10.3"
"1976Q1","9.6"
"1976Q2","5.8"
"1976Q3","9.6"
"1976Q4","9.2"
"1977Q1","8.4"
"1977Q2","11.1"
"1977Q3","12.2"
"1977Q4","14.1"
"1978Q1","10.1"
"1978Q2","13.1"
"1978Q3","10.6"
"1978Q4","10.6"
"1979Q1","13.1"
"1979Q2","7.4"
"1979Q3","12.3"
"1979Q4","10.8"
"1980Q1","14.1"
"1980Q2","6.3"
"1980Q3","14.7"
"1980Q4","16.5"
"1981Q1","10.2"
"1981Q2","7.4"
"1981Q3","16.3"
"1981Q4","6.7"
"1982Q1","6.2"
"1982Q2","6.4"
"1982Q3","8.5"
"1982Q4","5.8"
"1983Q1","7.3"
"1983Q2","6.6"
"1983Q3","11.8"
"1983Q4","12.1"
"1984Q1","13"
"1984Q2","11"
"1984Q3","8.7"
"1984Q4","5.9"
"1985Q1","3.7"
"1985Q2","11.6"
"1985Q3","1.9"
"1985Q4","7.2"
"1986Q1","8.4"
"1986Q2","4.8"
"1986Q3","4.8"
"1986Q4","3.1"
"1987Q1","7.7"
"1987Q2","0.1"
"1987Q3","11.5"
"1987Q4","9.2"
"1988Q1","9.4"
"1988Q2","8.9"
"1988Q3","9.1"
"1988Q4","8.1"
"1989Q1","9.5"
"1989Q2","4.3"
"1989Q3","5.1"
"1989Q4","6.7"
"1990Q1","9.2"
"1990Q2","6.6"
"1990Q3","5"
"1990Q4","1.8"
"1991Q1","3.1"
"1991Q2","5.2"
"1991Q3","4.4"
"1991Q4","6.4"
"1992Q1","11"
"1992Q2","6.8"
"1992Q3","4.5"
"1992Q4","4.7"
"1993Q1","3.9"
"1993Q2","4"
"1993Q3","2.1"
"1993Q4","5.2"
"1994Q1","4.1"
"1994Q2","6.4"
"1994Q3","5.3"
"1994Q4","7.9"
"1995Q1","5.5"
"1995Q2","3.5"
"1995Q3","5.4"
"1995Q4","4.2"
"1996Q1","6.2"
"1996Q2","6.5"
"1996Q3","5.1"
"1996Q4","5"
"1997Q1","5.7"
"1997Q2","4.6"
"1997Q3","5.9"
"1997Q4","7.4"
"1998Q1","8.7"
"1998Q2","6.4"
"1998Q3","5.4"
"1998Q4","4.3"
"1999Q1","4.7"
"1999Q2","3.1"
"1999Q3","5"
"1999Q4","8.7"
"2000Q1","11.5"
"2000Q2","6.4"
"2000Q3","7.3"
"2000Q4","3.7"
"2001Q1","6.5"
"2001Q2","1.2"
"2001Q3","9.8"
"2001Q4","-4.7"
"2002Q1","10.1"
"2002Q2","5.9"
"2002Q3","1.6"
"2002Q4","4.3"
"2003Q1","3.8"
"2003Q2","5.1"
"2003Q3","9.6"
"2003Q4","2.9"
"2004Q1","5.3"
"2004Q2","7.6"
"2004Q3","4.7"
"2004Q4","8.8"
"2005Q1","-2.4"
"2005Q2","6.4"
"2005Q3","5.6"
"2005Q4","8.6"
"2006Q1","10.2"
"2006Q2","4.3"
"2006Q3","4"
"2006Q4","4.7"
"2007Q1","7.4"
"2007Q2","4.3"
"2007Q3","2.6"
"2007Q4","4.3"
"2008Q1","4.6"
"2008Q2","12"
"2008Q3","-4.3"
"2008Q4","-2.5"
"2009Q1","-4"
"2009Q2","6.3"
"2009Q3","-1.8"
"2009Q4","3"
"2010Q1","3.7"
"2010Q2","7.2"
"2010Q3","3.6"
"2010Q4","4.8"
"2011Q1","7.8"
"2011Q2","3.1"
"2011Q3","3.7"
"2011Q4","2.6"
"2012Q1","10.7"
"2012Q2","4.7"
"2012Q3","-1.7"
"2012Q4","14.1"
"2013Q1","-13.9"
"2013Q2","3.3"
"2013Q3","3.4"
"2013Q4","3.3"
"2014Q1","7.7"
"2014Q2","7.6"
"2014Q3","5.9"
"2014Q4","4.9"
"2015Q1","2.8"
"2015Q2","5.1"
"2015Q3","4.1"
"2015Q4","0.9"
"2016Q1","2.9"
"2016Q2","2"
"2016Q3","3.5"
"2016Q4","4.3"
"2017Q1","7.1"
"2017Q2","3.6"
"2017Q3","4.1"
"2017Q4","6.5"
"2018Q1","9.6"
"2018Q2","4.9"
"2018Q3","4.9"
"2018Q4","4.2"
"2019Q1","4.9"
"2019Q2","3.9"
"2019Q3","3.6"
"2019Q4","3"
"2020Q1","1.9"
